Gesamtübersicht 2015;;;;;;;;;;;;;
Umsatzsteuer-Umrechnungskurse;;;;;;;;;;;;;
Euro-Referenzkurse;;;;;;;;;;;;;
Land;Währung;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
Australien;1 Euro;"1,4390
AUD";"1,4568
AUD";"1,4008
AUD";"1,3939
AUD";"1,4123
AUD";"1,4530
AUD";"1,4844
AUD";"1,5269
AUD";"1,5900
AUD";"1,5586
AUD";"1,5011
AUD";"1,5009
AUD"
Brasilien;1 Euro;"3,0639
BRL";"3,1977
BRL";"3,3997
BRL";"3,2800
BRL";"3,4105
BRL";"3,4941
BRL";"3,5405
BRL";"3,9118
BRL";"4,3666
BRL";"4,3599
BRL";"4,0601
BRL";"4,2145
BRL"
Bulgarien;1 Euro;"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN"
China (VR);1 Euro;"7,2269
CNY";"7,0960
CNY";"6,7623
CNY";"6,6863
CNY";"6,9165
CNY";"6,9587
CNY";"6,8269
CNY";"7,0626
CNY";"7,1462
CNY";"7,1346
CNY";"6,8398
CNY";"7,0193
CNY"
Dänemark;1 Euro;"7,4406
DKK";"7,4501
DKK";"7,4593
DKK";"7,4655
DKK";"7,4612
DKK";"7,4603
DKK";"7,4616
DKK";"7,4627
DKK";"7,4610
DKK";"7,4601
DKK";"7,4602
DKK";"7,4612
DKK"
Großbritannien;1 Euro;"0,76680
GBP";"0,74051
GBP";"0,72358
GBP";"0,72116
GBP";"0,72124
GBP";"0,72078
GBP";"0,70685
GBP";"0,71423
GBP";"0,73129
GBP";"0,73287
GBP";"0,70658
GBP";"0,72595
GBP"
Hongkong;1 Euro;"9,0102
HKD";"8,8020
HKD";"8,4081
HKD";"8,3550
HKD";"8,6436
HKD";"8,6935
HKD";"8,5236
HKD";"8,6358
HKD";"8,6966
HKD";"8,7073
HKD";"8,3211
HKD";"8,4307
HKD"
Indien;1 Euro;"72,2141
INR";"70,4356
INR";"67,7387
INR";"67,6432
INR";"71,1153
INR";"71,5873
INR";"69,9960
INR";"72,5361
INR";"74,2990
INR";"73,1116
INR";"71,0406
INR";"72,3851
INR"
Indonesien;1 Euro;"14.617,69
IDR";"14.504,28
IDR";"14.152,16
IDR";"13.950,49
IDR";"14.650,36
IDR";"14.919,43
IDR";"14.720,40
IDR";"15.370,92
IDR";"16.175,76
IDR";"15.482,55
IDR";"14.685,99
IDR";"15.087,43
IDR"
Israel;1 Euro;"4,5856
ILS";"4,4192
ILS";"4,3325
ILS";"4,2456
ILS";"4,3086
ILS";"4,2891
ILS";"4,1679
ILS";"4,2836
ILS";"4,3917
ILS";"4,3414
ILS";"4,1760
ILS";"4,2199
ILS"
Japan;1 Euro;"137,47
JPY";"134,69
JPY";"130,41
JPY";"128,94
JPY";"134,75
JPY";"138,74
JPY";"135,68
JPY";"137,12
JPY";"134,85
JPY";"134,84
JPY";"131,60
JPY";"132,36
JPY"
Kanada;1 Euro;"1,4039
CAD";"1,4199
CAD";"1,3661
CAD";"1,3313
CAD";"1,3568
CAD";"1,3854
CAD";"1,4124
CAD";"1,4637
CAD";"1,4882
CAD";"1,4685
CAD";"1,4248
CAD";"1,4904
CAD"
Korea, Republik;1 Euro;"1.266,19
KRW";"1.250,50
KRW";"1.205,92
KRW";"1.170,32
KRW";"1.220,20
KRW";"1.248,79
KRW";"1.260,75
KRW";"1.313,48
KRW";"1.329,94
KRW";"1.286,06
KRW";"1.239,19
KRW";"1.277,56
KRW"
Kroatien;1 Euro;"7,6883
HRK";"7,7114
HRK";"7,6467
HRK";"7,5896
HRK";"7,5591
HRK";"7,5719
HRK";"7,5863
HRK";"7,5578
HRK";"7,5890
HRK";"7,6208
HRK";"7,6074
HRK";"7,6397
HRK"
Malaysia;1 Euro;"4,1648
MYR";"4,0822
MYR";"3,9889
MYR";"3,9118
MYR";"4,0191
MYR";"4,1949
MYR";"4,1824
MYR";"4,5297
MYR";"4,8286
MYR";"4,7818
MYR";"4,6328
MYR";"4,6615
MYR"
Mexiko;1 Euro;"17,0782
MXN";"16,9310
MXN";"16,4941
MXN";"16,4288
MXN";"17,0378
MXN";"17,3467
MXN";"17,5297
MXN";"18,4333
MXN";"18,8821
MXN";"18,6216
MXN";"17,8605
MXN";"18,5500
MXN"
Neuseeland;1 Euro;"1,5213
NZD";"1,5236
NZD";"1,4506
NZD";"1,4217
NZD";"1,5112
NZD";"1,6046
NZD";"1,6542
NZD";"1,7001
NZD";"1,7714
NZD";"1,6794
NZD";"1,6365
NZD";"1,6133
NZD"
