Gesamtübersicht 2017;;;;;;;;;;;;;
Umsatzsteuer-Umrechnungskurse;;;;;;;;;;;;;
Euro-Referenzkurse;;;;;;;;;;;;;
Land;Währung;Jan 01;Feb 02;Mrz 03;Apr 04;Mai 05;Jun 06;Jul 07;Aug 08;Sep 09;Okt 10;Nov 11;Dez 12
Australien;1 Euro;"1,4252
AUD";"1,3886
AUD";"1,4018
AUD";"1,4241
AUD";"1,4878
AUD";"1,4861
AUD";"1,4772
AUD";"1,4919
AUD";"1,4946
AUD";"1,5099
AUD";"1,5395
AUD";"1,5486
AUD"
Brasilien;1 Euro;"3,3929
BRL";"3,3022
BRL";"3,3413
BRL";"3,3620
BRL";"3,5424
BRL";"3,6948
BRL";"3,6928
BRL";"3,7201
BRL";"3,7316
BRL";"3,7503
BRL";"3,8246
BRL";"3,8941
BRL"
Bulgarien;1 Euro;"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN"
China (VR);1 Euro;"7,3189
CNY";"7,3143
CNY";"7,3692
CNY";"7,3892
CNY";"7,6130
CNY";"7,6459
CNY";"7,7965
CNY";"7,8760
CNY";"7,8257
CNY";"7,7890
CNY";"7,7723
CNY";"7,8073
CNY"
Dänemark;1 Euro;"7,4355
DKK";"7,4348
DKK";"7,4356
DKK";"7,4376
DKK";"7,4400
DKK";"7,4376
DKK";"7,4366
DKK";"7,4379
DKK";"7,4401
DKK";"7,4429
DKK";"7,4420
DKK";"7,4433
DKK"
Großbritannien;1 Euro;"0,86100
GBP";"0,85273
GBP";"0,86560
GBP";"0,84824
GBP";"0,85554
GBP";"0,87724
GBP";"0,88617
GBP";"0,91121
GBP";"0,89470
GBP";"0,89071
GBP";"0,88795
GBP";"0,88265
GBP"
Hongkong;1 Euro;"8,2332
HKD";"8,2586
HKD";"8,2984
HKD";"8,3364
HKD";"8,6108
HKD";"8,7578
HKD";"8,9893
HKD";"9,2348
HKD";"9,3094
HKD";"9,1763
HKD";"9,1617
HKD";"9,2479
HKD"
Indien;1 Euro;"72,2823
INR";"71,2908
INR";"70,3238
INR";"69,2016
INR";"71,2681
INR";"72,3798
INR";"74,1945
INR";"75,5465
INR";"76,8002
INR";"76,4977
INR";"76,1248
INR";"76,0663
INR"
Indonesien;1 Euro;"14.181,25
IDR";"14.186,74
IDR";"14.255,46
IDR";"14.265,96
IDR";"14.730,60
IDR";"14.940,12
IDR";"15.363,84
IDR";"15.753,09
IDR";"15.852,42
IDR";"15.904,42
IDR";"15.875,67
IDR";"16.048,79
IDR"
Israel;1 Euro;"4,0543
ILS";"3,9672
ILS";"3,9012
ILS";"3,9153
ILS";"3,9727
ILS";"3,9658
ILS";"4,0899
ILS";"4,2504
ILS";"4,2080
ILS";"4,1265
ILS";"4,1283
ILS";"4,1495
ILS"
Japan;1 Euro;"122,14
JPY";"120,17
JPY";"120,68
JPY";"118,29
JPY";"124,09
JPY";"124,58
JPY";"129,48
JPY";"129,70
JPY";"131,92
JPY";"132,76
JPY";"132,39
JPY";"133,64
JPY"
Kanada;1 Euro;"1,4032
CAD";"1,3942
CAD";"1,4306
CAD";"1,4408
CAD";"1,5041
CAD";"1,4941
CAD";"1,4641
CAD";"1,4889
CAD";"1,4639
CAD";"1,4801
CAD";"1,4978
CAD";"1,5108
CAD"
