Monatlich fortgeschriebene Übersicht der Umsatzsteuer-Umrechnungskurse 2018 (Euro-Referenzkurse);;;;;;;;;;;;;
Land;Währung;Januar[1];Februar[2];März[3];April[4];Mai[5];Juni[6];Juli[7];August[8];September[9];Oktober[10];November[11];Dezember[12]
Australien;1 Euro;1,5340 AUD;1,5684 AUD;1,5889 AUD;1,5972 AUD;1,5695 AUD;1,5579 AUD;1,5792 AUD;1,5762 AUD;1,6189 AUD;1,6158 AUD;1,5681 AUD;1,5849 AUD
Brasilien;1 Euro;3,9170 BRL;4,0109 BRL;4,0426 BRL;4,1815 BRL;4,2912 BRL;4,4049 BRL;4,4765 BRL;4,5357 BRL;4,8013 BRL;4,3246 BRL;4,2973 BRL;4,4214 BRL
Bulgarien;1 Euro;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN
China (VR);1 Euro;7,8398 CNY;7,8068 CNY;7,7982 CNY;7,7347 CNY;7,5291 CNY;7,5512 CNY;7,8504 CNY;7,9092 CNY;7,9930 CNY;7,9481 CNY;7,8880 CNY;7,8398 CNY
Dänemark;1 Euro;7,4455DKK;7,4457 DKK;7,4490 DKK;7,4479 DKK;7,4482 DKK;7,4493 DKK;7,4523 DKK;7,4558 DKK;7,4583 DKK;7,4597 DKK;7,4611 DKK;7,4653 DKK
Großbritannien;1 Euro;0,88331 GBP;0,88396 GBP;0,88287 GBP;0,87212 GBP;0,87726 GBP;0,87886 GBP;0,88726 GBP;0,89687 GBP;0,89281 GBP;0,88272 GBP;0,88118 GBP;0,89774 GBP
Hongkong;1 Euro;9,5394 HKD;9,6585 HKD;9,6726 HKD;9,6350 HKD;9,2712 HKD;9,1642 HKD;9,1708 HKD;9,0655 HKD;9,1375 HKD;9,0011 HKD;8,9000 HKD;8,9026 HKD
Indien;1 Euro;77,6558 INR;79,5615 INR;80,2526 INR;80,6548 INR;79,7891 INR;79,1601 INR;80,2996 INR;80,4260 INR;84,2109 INR;84,5447 INR;81,5611 INR;80,6166 INR
Indonesien;1 Euro;16.316,81 IDR;16.793,74 IDR;16.973,10 IDR;16.959,01 IDR;16.594,39 IDR;16.393,39 IDR;16.836,55 IDR;16.822,69 IDR;17.338,45 IDR;17.428,73 IDR;16.651,71 IDR;16.512,15 IDR
Island;1 Euro;;124,69 ISK;122,82 ISK;122,30 ISK;122,83ISK;124,76 ISK;124,41 ISK;124,19 ISK;128,90 ISK;134,47 ISK;139,78 ISK;137,78 ISK
Israel;1 Euro;4,1753 ILS;4,3173 ILS;4,2775 ILS;4,3425 ILS;4,2397 ILS;4,2096 ILS;4,2595 ILS;4,2330 ILS;4,1858 ILS;4,1996 ILS;4,2122 ILS;4,2736 ILS
Japan;1 Euro;135,25 JPY;133,29 JPY;130,86 JPY;132,16 JPY;129,57 JPY;128,53 JPY;130,23 JPY;128,20 JPY;130,54 JPY;129,62 JPY;128,79 JPY;127,88 JPY
Kanada;1 Euro;1,5167 CAD;1,5526 CAD;1,5943 CAD;1,5622 CAD;1,5197 CAD;1,5327 CAD;1,5356 CAD;1,5063 CAD;1,5211 CAD;1,4935 CAD;1,4998 CAD;1,5278 CAD
Korea, Republik;1 Euro;1.300,93 KRW;1.331,47 KRW;1.321,99 KRW;1.312,94 KRW;1.272,38 KRW;1.277,93 KRW;1.313,03 KRW;1.295,39 KRW;1.305,86 KRW;1.300,10 KRW;1.280,89 KRW;1.278,13 KRW
Kroatien;1 Euro;7,4359 HRK;7,4399 HRK;7,4384 HRK;7,4209 HRK;7,3912HRK;7,3822 HRK;7,3971 HRK;7,4261 HRK;7,4294 HRK;7,4245 HRK;7,4281 HRK;7,4041 HRK
Malaysia;1 Euro;4,8249 MYR;4,8318 MYR;4,8155 MYR;4,7734 MYR;4,6891 MYR;4,6717 MYR;4,7327 MYR;4,7277 MYR;4,8265 MYR;4,7761 MYR;4,7548 MYR;4,7459 MYR
