Monatlich fortgeschriebene Übersicht der Umsatzsteuer-Umrechnungskurse 2021 (Euro-Referenzkurse);;;;;;;;;;;;;;
Land;Währung;Januar[1];Februar [2];März [3];April [4];Mai [5];Juni [6];Juli [7];August [8];September [9];Oktober [10];November [11];Dezember [12];
Australien;1 Euro;1,5764 AUD;1,5605 AUD;1,5444 AUD;1,5544 AUD;1,5653 AUD;1,5761 AUD;1,5926 AUD;1,6118 AUD;1,6087 AUD;1,5669 AUD;1,5615 AUD;1,5781 AUD;
Brasilien;1 Euro;6,5102 BRL;6,5434 BRL;6,7247 BRL;6,6565 BRL;6,4462 BRL;6,0693 BRL;6,0930 BRL;6,1884 BRL;6,1966 BRL;6,4204 BRL;6,3434 BRL;6,3841 BRL;
Bulgarien;1 Euro;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;
China (VR);1 Euro;7,8730 CNY;7,8136 CNY;7,7465 CNY;7,8051 CNY;7,8109 CNY;7,7391 CNY;7,6536 CNY;7,6237 CNY;7,6007 CNY;7,4500 CNY;7,2927 CNY;7,1993 CNY;
Dänemark;1 Euro;7,4387 DKK;7,4367 DKK;7,4363 DKK;7,4367 DKK;7,4362 DKK;7,4364 DKK;7,4373 DKK;7,4369 DKK;7,4361 DKK;7,4398 DKK;7,4373 DKK;7,4362 DKK;
Großbritannien;1 Euro;0,89267 GBP;0,87268 GBP;0,85873 GBP;0,86527 GBP;0,86258 GBP;0,85872 GBP;0,85613 GBP;0,85287 GBP;0,85683 GBP;0,84694 GBP;0,84786 GBP;0,84875 GBP;
Hongkong;1 Euro;9,4362 HKD;9,3794 HKD;9,2400 HKD;9,3064 HKD;9,4317 HKD;9,3507 HKD;9,1862 HKD;9,1633 HKD;9,1583 HKD;9,0257 HKD;8,8922 HKD;8,8155 HKD;
Indien;1 Euro;88,9936 INR;88,0756 INR;86,6550 INR;89,4210 INR;88,9171 INR;88,6298 INR;88,1134 INR;87,2573 INR;86,6330 INR;86,9571 INR;85,0038 INR;85,1762 INR;
Indonesien;1 Euro;17.111,98 IDR;17.002,56 IDR;17.135,25 IDR;17.414,37 IDR;17.393,13 IDR;17.295,86 IDR;17.148,30 IDR;16.926,94 IDR;16.781,39 IDR;16.450,02 IDR;16.298,12 IDR;16.184,17 IDR;
Island;1 Euro;156,48 ISK;155,26 ISK;151,51 ISK;150,75 ISK;149,66 ISK;146,84 ISK;147,10 ISK;148,45 ISK;150,96 ISK;149,66 ISK;149,16 ISK;147,15 ISK;
Israel;1 Euro;3,9249 ILS;3,9581 ILS;3,9402 ILS;3,9205 ILS;3,9623 ILS;3,9179 ILS;3,8668 ILS;3,7942 ILS;3,7744 ILS;3,7292 ILS;3,5588 ILS;3,5426 ILS;
Japan;1 Euro;126,31 JPY;127,49 JPY;129,38 JPY;130,49 JPY;132,57 JPY;132,63 JPY;130,35 JPY;129,28 JPY;129,66 JPY;131,21 JPY;130,12 JPY;128,80 JPY;
Kanada;1 Euro;1,5494 CAD;1,5354 CAD;1,4970 CAD;1,4975 CAD;1,4732 CAD;1,4713 CAD;1,4806 CAD;1,4827 CAD;1,4910 CAD;1,4436 CAD;1,4339 CAD;1,4463 CAD;
