Monatlich fortgeschriebene Übersicht der Umsatzsteuer-Umrechnungskurse 2023 (Euro-Referenzkurse);;;;;;;;;;;;;
Land;Währung;Januar[1];Februar [2];März [3];April [4];Mai [5];Juni [6];Juli [7];August [8];September [9];Oktober [10];November [11];Dezember [12]
Australien;1 Euro;1,5523 AUD;1,5514 AUD;1,6034 AUD;1,6389 AUD;1,6346 AUD;1,6157 AUD;1,6423 AUD;1,6818 AUD;1,6622 AUD;1,6637 AUD;1,6634 AUD;1,6321 AUD
Brasilien;1 Euro;5,6047 BRL;5,5386 BRL;5,5784 BRL;5,4995 BRL;5,4092 BRL;5,2695 BRL;5,3099 BRL;5,3427 BRL;5,2770 BRL;5,3509 BRL;5,2963 BRL;5,3428 BRL
Bulgarien;1 Euro;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN
China (VR);1 Euro;7,3173 CNY;7,3244 CNY;7,3807 CNY;7,5561 CNY;7,5948 CNY;7,7653 CNY;7,9482 CNY;7,9096 CNY;7,7967 CNY;7,7200 CNY;7,8087 CNY;7,7870 CNY
Dänemark;1 Euro;7,4383 DKK;7,4447 DKK;7,4456 DKK;7,4518 DKK;7,4485 DKK;7,4492 DKK;7,4508 DKK;7,4522 DKK;7,4566 DKK;7,4604 DKK;7,4581 DKK;7,4556 DKK
Großbritannien;1 Euro;0,88212 GBP;0,88550 GBP;0,88192 GBP;0,88115 GBP;0,87041 GBP;0,85861 GBP;0,85856 GBP;0,85892 GBP;0,86158 GBP;0,86798 GBP;0,87045 GBP;0,86168 GBP
Hongkong;1 Euro;8,4217 HKD;8,4077 HKD;8,4026 HKD;8,6093 HKD;8,5167 HKD;8,4899 HKD;8,6437 HKD;8,5370 HKD;8,3640 HKD;8,2648 HKD;8,4380 HKD;8,5152 HKD
Indien;1 Euro;88,1441 INR;88,5004 INR;88,1159 INR;89,9311 INR;89,4602 INR;89,1134 INR;90,8395 INR;90,3518 INR;88,7372 INR;87,8937 INR;90,0102 INR;90,8009 INR
Indonesien;1 Euro;16.427,04 IDR;16.232,58 IDR;16.364,98 IDR;16.313,20 IDR;16.116,84 IDR;16.194,88 IDR;16.639,99 IDR;16.639,40 IDR;16.424,67 IDR;16.646,67 IDR;16.853,56 IDR;16.910,33 IDR
Island;1 Euro;154,06 ISK;153,11 ISK;149,89 ISK;149,62 ISK;150,47 ISK;149,35 ISK;146,79 ISK;143,87 ISK;144,46 ISK;146,50 ISK;151,44 ISK;150,55 ISK
Israel;1 Euro;3,7126 ILS;3,7975 ILS;3,8742 ILS;3,9877 ILS;3,9863 ILS;3,9502 ILS;4,0546 ILS;4,0861 ILS;4,0793 ILS;4,2034 ILS;4,1118 ILS;4,0057 ILS
Japan;1 Euro;140,54 JPY;142,38 JPY;143,01 JPY;146,51 JPY;148,93 JPY;153,15 JPY;155,94 JPY;157,96 JPY;157,80 JPY;158,04 JPY;161,84 JPY;157,21 JPY
Kanada;1 Euro;1,4474 CAD;1,4400 CAD;1,4649 CAD;1,4792 CAD;1,4687 CAD;1,4414 CAD;1,4618 CAD;1,4703 CAD;1,4458 CAD;1,4474 CAD;1,4828 CAD;1,4653 CAD
